[49.145.38.234 | 30-Jan-2024 16:50:58] 2-Super Admin: Added/Updated User Groups
[49.145.38.234 | 30-Jan-2024 16:50:58] 2-Super Admin: Added/Updated User Designations
[120.28.228.216 | 30-Jan-2024 16:52:06] 185-Admin User: Added/Updated User Schedules
[120.28.228.216 | 30-Jan-2024 16:52:20] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 16:52
[120.28.228.216 | 30-Jan-2024 16:54:52] 185-Admin User: Log  for  User, Employee successfully Deleted
[120.28.228.216 | 30-Jan-2024 16:55:32] 187-Employee  User: Logged out.
[120.28.228.216 | 30-Jan-2024 16:55:45] 187-Employee  User: Logged in.
[120.28.228.216 | 30-Jan-2024 16:57:45] 185-Admin User: Added/Updated User Schedules
[49.145.38.234 | 30-Jan-2024 16:58:15] 187-Employee  User: Logged in.
[120.28.228.216 | 30-Jan-2024 16:58:18] 185-Admin User: Added/Updated User Schedules
[120.28.228.216 | 30-Jan-2024 16:58:36] 185-Admin User: Added/Updated User Schedules
[120.28.228.216 | 30-Jan-2024 16:58:47] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-30 16:58
[120.28.228.216 | 30-Jan-2024 17:06:27] 187-Employee  User: Logged out.
[58.71.120.250 | 30-Jan-2024 17:12:24] 185-Admin User: Logged in.
[58.71.120.250 | 30-Jan-2024 17:19:39] 185-Admin User: Logged out.
[58.71.120.250 | 30-Jan-2024 17:19:52] 187-Employee  User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:17:32] 187-Employee  User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:17:42] 187-Employee  User: Add timelog for biometric ID 333333333 Time In : 2024-01-31 2:17
[58.71.120.250 | 31-Jan-2024 02:17:46] 187-Employee  User: Add timelog for biometric ID 333333333 Time Out : 2024-01-31 2:17
[122.55.76.9 | 31-Jan-2024 02:18:55] 187-Employee  User: Logged out.
[122.55.76.9 | 31-Jan-2024 02:18:59] 185-Admin User: Logged in.
[122.55.76.9 | 31-Jan-2024 02:31:21] 185-Admin User: Added Employee John Cruz
[58.71.120.250 | 31-Jan-2024 02:33:08] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 02:33:13] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:43:48] 185-Admin User: Import Timelog
[58.71.120.250 | 31-Jan-2024 02:44:02] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 02:44:12] 188-John Cruz: Logged in.
[58.71.120.250 | 31-Jan-2024 02:45:03] 188-John Cruz: Logged out.
[58.71.120.250 | 31-Jan-2024 02:45:05] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:46:42] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 02:46:44] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:46:47] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 02:46:50] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:47:08] 185-Admin User: Logged out.
[122.55.76.9 | 31-Jan-2024 02:47:15] 186-HR User: Logged in.
[122.55.76.9 | 31-Jan-2024 02:51:58] 186-HR User: Logged out.
[122.55.76.9 | 31-Jan-2024 02:52:01] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 02:52:15] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 02:52:18] 188-John Cruz: Logged in.
[58.71.120.250 | 31-Jan-2024 02:52:31] 188-John Cruz: Logged out.
[58.71.120.250 | 31-Jan-2024 02:52:37] 187-Employee  User: Logged in.
[122.55.76.9 | 31-Jan-2024 02:52:43] 187-Employee  User: Logged out.
[122.55.76.9 | 31-Jan-2024 02:52:46] 185-Admin User: Logged in.
[122.55.76.9 | 31-Jan-2024 02:55:08] 188-John Cruz: Logged in.
[122.55.76.9 | 31-Jan-2024 03:03:27] 188-John Cruz: Logged out.
[122.55.76.9 | 31-Jan-2024 03:03:29] 187-Employee  User: Logged in.
[58.71.120.250 | 31-Jan-2024 03:18:41] 185-Admin User: Logged out.
[58.71.120.250 | 31-Jan-2024 03:18:43] 188-John Cruz: Logged in.
[58.71.120.250 | 31-Jan-2024 03:20:21] 188-John Cruz: Logged out.
[58.71.120.250 | 31-Jan-2024 03:20:24] 185-Admin User: Logged in.
[58.71.120.250 | 31-Jan-2024 03:20:41] 185-Admin User: Set Nightdiff amount.
[58.71.120.250 | 31-Jan-2024 03:22:56] 185-Admin User: Set Overtime amount.
[122.55.76.9 | 31-Jan-2024 08:18:12] 187-Employee  User: Logged in.
[122.55.76.9 | 31-Jan-2024 08:18:26] 187-Employee  User: Logged out.
[122.55.76.9 | 31-Jan-2024 08:18:29] 188-John Cruz: Logged in.
[122.55.76.9 | 31-Jan-2024 08:18:37] 188-John Cruz: Logged out.
[122.55.76.9 | 31-Jan-2024 08:18:50] 188-John Cruz: Logged in.
[58.71.120.250 | 31-Jan-2024 08:19:40] 188-John Cruz: Logged out.
[58.71.120.250 | 31-Jan-2024 08:19:49] 185-Admin User: Logged in.
